#{"t_start": 1749826475.651267, "env_id": "None"}
r,l,t
9683.920455,10488,81.9257
-2692.670455,9574,148.690209
-17598.352273,8110,211.728608
6748.352273,10786,350.197281
-22762.556818,6704,435.56219
-15335.795455,10077,571.463655
-10833.352273,6354,654.968026
-16475.625,10709,791.926727
-9177.159091,6060,886.372051
14583.181818,11907,1087.295138
-24877.897727,7487,1194.760024
-25255.113636,7403,1313.85224
-29955.625,8452,1420.249804
-27060.568182,6204,1499.102034
-16267.897727,8535,1608.609774
-24556.477273,6517,1721.581056
-36974.886364,7391,1820.429778
-19894.886364,8606,1931.952182
-14869.943182,8030,2039.471373
-9161.193182,11769,2200.358934
-24046.647727,7355,2327.001156
-19822.613636,8112,2438.096918
-37527.613636,7254,2527.523368
-27056.079545,6576,2607.871329
-12918.636364,6749,2704.884058
-32228.011364,6722,2790.603331
-30665.625,7606,2904.133764
-18869.545455,6093,2996.606396
-23272.159091,7562,3089.373922
-27769.772727,10966,3240.788666
-9335.397727,7218,3326.501748
-19772.386364,5805,3423.224195
-27568.636364,6558,3525.58465
-30886.193182,6922,3625.915201
-20624.488636,5898,3705.599547
-37568.125,7041,3791.811782
-21490.170455,6980,3875.492664
-18670.795455,5580,3954.377798
-15257.840909,7519,4061.070968
-12930.340909,7900,4168.620074
-25123.068182,6445,4251.024065
-18747.5,5770,4332.056351
-24600.056818,9699,4447.812647
-29190.397727,6632,4549.17245
-14333.920455,6451,4632.719078
-28781.306818,7331,4720.344078
-24972.670455,12267,4883.606322
-30943.977273,7580,4992.641908
-14697.613636,7095,5079.273478
-31618.522727,7924,5185.726011
-25585.0,7411,5285.510963
-25145.909091,7790,5389.993536
-34337.045455,8168,5495.982087
-30833.125,7543,5604.02798
-38176.477273,7146,5808.236071
-28400.568182,7897,5911.689236
-21874.715909,8161,6017.201335
-30995.568182,8692,6124.796112
-40281.022727,7308,6226.911169
-37138.125,7814,6313.746397
-19338.636364,7184,6415.385364
-28247.613636,7680,6517.729916
-20872.556818,8264,6632.081929
-22006.306818,8517,6747.234218
-27319.886364,7755,6851.775824
-28570.340909,7735,6947.687414
-20416.136364,6930,7055.065149
